X, Y, Z, NX, NY, NZ, IX, IY, IZ, CUTNUM
0.401598779,0.255159539,-0.112483661,0,0.69465837,-0.7193398,0.562651842,-0.594673869,-0.574269879,20
0.400556225,0.254632695,-0.112992429,0,0.69465837,-0.7193398,0.587200545,-0.582263477,-0.562285304,20
0.399537175,0.25408282,-0.113523437,0,0.69465837,-0.7193398,0.61311075,-0.568276261,-0.548778006,20
0.398544846,0.253508762,-0.114077798,0,0.69465837,-0.7193398,0.640450748,-0.552452423,-0.533497104,20
0.397582992,0.252909369,-0.114656625,0,0.69465837,-0.7193398,0.669265619,-0.534486187,-0.516147311,20
0.396655598,0.25228326,-0.115261252,0,0.69465837,-0.7193398,0.699574248,-0.514011387,-0.496375026,20
0.395764259,0.251626666,-0.115895316,0,0.69465837,-0.7193398,0.731453992,-0.490511189,-0.473681149,20
0.394918705,0.250941127,-0.116557334,0,0.69465837,-0.7193398,0.764637583,-0.463586105,-0.447679897,20
0.394125694,0.250225974,-0.117247949,0,0.69465837,-0.7193398,0.798840517,-0.432713731,-0.417866792,20
0.393389599,0.249477429,-0.117970811,0,0.69465837,-0.7193398,0.833751656,-0.397176014,-0.383548419,20
